,#,sex,item name,about,details,sizes,"price, $",colour,image_name,,
,,man,Regular fit shirt with graphics,The classic shirt of the Spring-Summer 2023 season appears in a sophisticated blue-gray,100% cotton,"s, m, l, xl",,Grey-blue,fit shirt 1AB5L71                              fit shirt 1AB5L72                              fit shirt 1AB5L73                              fit shirt 1AB5L74,,
,,man,Short Sleeve Monogram Rainbow Denim Shirt,This short-sleeved denim shirt features Monogram Rainbow jacquard in a pastel color scheme.,100% cotton,"s, m, l, xl",,Indigo,Rainbow Denim 1AB91X1                  Rainbow Denim 1AB91X2                  Rainbow Denim 1AB91X3                  Rainbow Denim 1AB91X4,,
,,man,Regular Fit Signature Long Sleeve Shirt,This eye-catching long-sleeved cotton shirt is decorated with a seasonal silk-screened print. ,100% cotton,"s, m, l, xl",,Indigo,Long Sleeve 1AATK91                  Long Sleeve 1AATK92                  Long Sleeve 1AATK93                  Long Sleeve 1AATK94,,
,,man,Classic Shirt,This embossed LV Monogram shirt,100% Polyester,"s, m, l, xl",,Purple,Classic Shirt 1AAIGG1                  Classic Shirt 1AAIGG2                  Classic Shirt 1AAIGG3,,
,,man,Classic Shirt,This soft velvet shirt is the perfect complement to your stylish look. ,100% cotton,"s, m, l, xl",,White,Classic Shirt 1AAGIP1                  Classic Shirt 1AAGIP2                  Classic Shirt 1AAGIP3                  Classic Shirt 1AAGIP4,,
,,man,Monogram Long Sleeve Shirt,The key feature of this long-sleeved cotton shirt is the Monogram Sand print in a warm,100% cotton,"s, m, l, xl",,White,Long Sleeve Shirt 1ABJLM1                  Long Sleeve Shirt 1ABJLM2                  Long Sleeve Shirt 1ABJLM3                  Long Sleeve Shirt 1ABJLM4,,
,,man,LV x YK Infinity Dots denim shirt,This short-sleeved denim shirt is part of the second exclusive,100% cotton,"s, m, l, xl",,Indigo,LV x YK shirt 1AB6O51                  LV x YK shirt 1AB6O52                  LV x YK shirt 1AB6O53                  LV x YK shirt 1AB6O54,,
,,man,Short Sleeve Multi Buttonholes Pajama Shirt,This flowy silk shirt features a loose fit and flowing shoulders.,100% silk,"s, m, l, xl",,Dark-Grey,Pajama Shirt 1AB6CE1                  Pajama Shirt 1AB6CE2                  Pajama Shirt 1AB6CE3                  Pajama Shirt 1AB6CE4,,
,,man,"
Short sleeve shirt",This short-sleeved silk shirt features a bold Jazzman print ,100% silk,"s, m, l, xl",,anthracite,sleeve shirt 1AATPF1                  sleeve shirt 1AATPF2                  sleeve shirt 1AATPF3,,
,,,Monogram Short-Sleeved Denim Shirt,"This sporty black denim shirt, which can also be worn open as an overshirt",100% Cotton,"s, m, l, xl",,black,Sleeved1ABJDT,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,man,Carpenter denim shorts,Light indigo denim shorts are a multifaceted element of your summer wardrobe,100% cotton,"s, m, l, xl",,Indigo,Carpenter denim 1ABJ7E1                  Carpenter denim 1ABJ7E2                  Carpenter denim 1ABJ7E3                  Carpenter denim 1ABJ7E4,,
,,man,Evening shorts with drawstring waist,Spectacular shorts with a drawstring waist are distinguished by elegant creases.,100% silk,"s, m, l, xl",,Dark-blue,Evening shorts 1AA5AQ1                  Evening shorts 1AA5AQ2                  Evening shorts 1AA5AQ3                  Evening shorts 1AA5AQ4,,
,,man,LV Multi Tools Embroidered Shorts,"Crafted from cotton jersey, these shorts are embroidered with the LV ",100% cotton,"s, m, l, xl",,Black,Embroidered Shorts 1AB6EM1                  Embroidered Shorts 1AB6EM2                  Embroidered Shorts 1AB6EM3                  Embroidered Shorts 1AB6EM4,,
,,man,LV x YK Monogram Faces Swimshorts,These elegant swim shorts are from the second exclusive Louis Vuitton x Yayoi Kusama ,100% Polyamide,"s, m, l, xl",,Blue,Faces Swimshorts 1AB79T1                  Faces Swimshorts 1AB79T2                  Faces Swimshorts 1AB79T3                  Faces Swimshorts 1AB79T4,,
,,man,Rainbow Monogram Denim Shorts,These trendy indigo denim shorts are twisted with a jacquard weave featuring an allover ,100% Cotton,"s, m, l, xl",,Indigo,Denim Shorts 1AB9261                  Denim Shorts 1AB9262                  Denim Shorts 1AB9263                  Denim Shorts 1AB9264,,
,,man,Shorts LV Graffiti,"Featuring the iconic Monogram jacquard pattern, these shorts are detailed with eye-catching ",100% cotton,"s, m, l, xl",,Black,LV Graffiti 1AA4Y01                  LV Graffiti 1AA4Y02                  LV Graffiti 1AA4Y03                  LV Graffiti 1AA4Y04,,
,,man,Monogram sweatshirt shorts,"Lightweight shorts with an adjustable drawstring waist, made from soft fleece","83% cotton, 17% nylon","s, m, l, xl",,Black,sweatshirt shorts 1ABJ9W1                  sweatshirt shorts 1ABJ9W2                  sweatshirt shorts 1ABJ9W3                  sweatshirt shorts 1ABJ9W4,,
,,man,Cotton shorts with Monogram pattern,"Made from soft cotton jersey, the Monogram Pointillism pattern",100% cotton,"s, m, l, xl",,Mix,Cotton shorts 1ABJ9H1                  Cotton shorts 1ABJ9H2                  Cotton shorts 1ABJ9H3                  Cotton shorts 1ABJ9H4,,
,,,Hybrid Cotton Shorts,These sporty shorts are inspired by the collection’s desert bike race,"82% Cotton, 18% Polyamide","s, m, l, xl",,black,Hybrid1ABJ1N1                  Hybrid1ABJ1N2                  Hybrid1ABJ1N3                  Hybrid1ABJ1N4,,
